Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	4.09	0.302608	0.411375	0.0771273	0.00156902
2	1000	6.8	0.310741	0.773671	0.0900452	0.0026921
4	1000	10.16	0.344637	1.46296	0.116759	0.00419541
8	1000	12.43	0.382093	2.53756	0.159254	0.00596957
16	1000	14.95	0.410119	4.33069	0.19925	0.00991755
32	1000	16.04	0.42769	5.50211	0.213564	0.0166808
64	1000	16.75	0.412962	6.5518	0.224445	0.028993
128	1000	17.73	0.374095	8.00183	0.215059	0.0488091
256	1000	17.87	0.373581	8.79932	0.230399	0.0894527
512	1000	18.05	0.334511	9.77447	0.215766	0.15299
1024	1000	17.97	0.286669	10.4468	0.194706	0.262374
2048	1000	18.15	0.239745	11.2727	0.163483	0.464735
4096	1000	17.68	0.232847	11.3771	0.16172	0.807655
8192	1000	18.57	0.23676	12.193	0.167159	1.50028
16384	1000	18.21	0.220218	12.3029	0.158737	2.5494
32768	811	18.1998	0.257384	12.3954	0.182975	4.44201
